EmployeeID,Employee Name,Period End Date,Pay Frequency,Location,Number of,Description,Hours,Amount
004NASHK,Kristy Nash,,,,,Net Pay,0,657.34
004NASHK,Kristy Nash,,,,,Superannuation,0,64.92
004NASHK,Kristy Nash,19/07/1982,1W01 - Weekly,CARCOSA,1,,,
004NASHK,Kristy Nash,,,,,Normal Hours,21,428.36
004NASHK,Kristy Nash,,,,,Sick Leave,7.5,152.99
004NASHK,Kristy Nash,,,,,Gross Taxable Total,0,581.35
004NASHK,Kristy Nash,,,,,Tax (Incl Adjust),0,-55
004NASHK,Kristy Nash,,,,,Net Pay,0,526.35
004NASHK,Kristy Nash,,,,,Superannuation,0,55.23
005RANDH,Henrietta Randall,8/11/1982,1W01 - Weekly,CARCOSA,1,,,
005RANDH,Henrietta Randall,,,,,Normal Hours,16,407.97
005RANDH,Henrietta Randall,,,,,Gross Taxable Total,0,407.97
005RANDH,Henrietta Randall,,,,,Tax (Incl Adjust),0,-10
005RANDH,Henrietta Randall,,,,,Net Pay,0,397.97
005RANDH,Henrietta Randall,15/11/1982,1W01 - Weekly,CARCOSA,1,,,
005RANDH,Henrietta Randall,,,,,Normal Hours,8,203.98
005RANDH,Henrietta Randall,,,,,Gross Taxable Total,0,203.98
005RANDH,Henrietta Randall,,,,,Tax (Incl Adjust),0,0
005RANDH,Henrietta Randall,,,,,Net Pay,0,203.98
005RANDH,Henrietta Randall,,,,,Superannuation,0,58.14
005RANDH,Henrietta Randall,22/11/1982,1W01 - Weekly,CARCOSA,1,,,
005RANDH,Henrietta Randall,,,,,Normal Hours,8.5,216.73
005RANDH,Henrietta Randall,,,,,Gross Taxable Total,0,216.73
005RANDH,Henrietta Randall,,,,,Tax (Incl Adjust),0,0
005RANDH,Henrietta Randall,,,,,Net Pay,0,216.73
005RANDH,Henrietta Randall,,,,,Superannuation,0,20.59
005RANDH,Henrietta Randall,10/01/1983,1W01 - Weekly,CARCOSA,1,,,
005RANDH,Henrietta Randall,,,,,Gross Taxable Total,0,0
005RANDH,Henrietta Randall,,,,,Tax (Incl Adjust),0,0
005RANDH,Henrietta Randall,,,,,Net Pay,0,0
006BROWA,Avis Browning,5/07/1982,1W01 - Weekly,CARCOSA,1,,,
006BROWA,Avis Browning,,,,,Normal Hours,38,771.42
006BROWA,Avis Browning,,,,,Long Service Leave,76,1542.84
006BROWA,Avis Browning,,,,,Gross Taxable Total,0,2314.26
006BROWA,Avis Browning,,,,,Tax (Incl Adjust),0,-623
006BROWA,Avis Browning,,,,,Net Pay,0,1691.26
006BROWA,Avis Browning,,,,,Superannuation,0,219.85
006BROWA,Avis Browning,12/07/1982,1W01 - Weekly,CARCOSA,1,,,
006BROWA,Avis Browning,,,,,Normal Hours,18,374.18
006BROWA,Avis Browning,,,,,Annual Leave,20,415.75
006BROWA,Avis Browning,,,,,Leave Loading 17.5%,0,72.76
006BROWA,Avis Browning,,,,,Gross Taxable Total,0,862.69
006BROWA,Avis Browning,,,,,Tax (Incl Adjust),0,-135
006BROWA,Avis Browning,,,,,Net Pay,0,727.69
006BROWA,Avis Browning,,,,,Superannuation,0,75.04
007GAINA,Abigail Gaines,5/12/1983,1W01 - Weekly,CARCOSA,2,,,
007GAINA,Abigail Gaines,,,,,Normal Hours,58,1222.14
007GAINA,Abigail Gaines,,,,,60% Sun Perm Ldg,7.5,94.82
007GAINA,Abigail Gaines,,,,,Gross Taxable Total,0,1316.96
007GAINA,Abigail Gaines,,,,,Tax (Incl Adjust),0,-142
007GAINA,Abigail Gaines,,,,,Net Pay,0,1174.96
007GAINA,Abigail Gaines,,,,,Superannuation,0,125.11
007GAINA,Abigail Gaines,12/12/1983,1W01 - Weekly,CARCOSA,1,,,
007GAINA,Abigail Gaines,,,,,Normal Hours,43,906.07
007GAINA,Abigail Gaines,,,,,Gross Taxable Total,0,906.07
007GAINA,Abigail Gaines,,,,,Tax (Incl Adjust),0,-150
007GAINA,Abigail Gaines,,,,,Net Pay,0,756.07
007GAINA,Abigail Gaines,,,,,Superannuation,0,86.08
007GAINA,Abigail Gaines,19/12/1983,1W01 - Weekly,CARCOSA,1,,,
007GAINA,Abigail Gaines,,,,,Normal Hours,40.5,853.4
007GAINA,Abigail Gaines,,,,,Gross Taxable Total,0,853.4
007GAINA,Abigail Gaines,,,,,Tax (Incl Adjust),0,-131
007GAINA,Abigail Gaines,,,,,Net Pay,0,722.4
007GAINA,Abigail Gaines,,,,,Superannuation,0,81.07
008CALHR,Randell Calhoun,5/07/1982,1W01 - Weekly,CARCOSA,1,,,
008CALHR,Randell Calhoun,,,,,Normal Hours,16,318.72
008CALHR,Randell Calhoun,,,,,Annual Leave,7.5,149.4
008CALHR,Randell Calhoun,,,,,Leave Loading 17.5%,0,26.15
008CALHR,Randell Calhoun,,,,,Gross Taxable Total,0,494.27
008CALHR,Randell Calhoun,,,,,Tax (Incl Adjust),0,-36
008CALHR,Randell Calhoun,,,,,Net Pay,0,458.27
008CALHR,Randell Calhoun,,,,,Superannuation,0,44.47
008CALHR,Randell Calhoun,12/07/1982,1W01 - Weekly,CARCOSA,1,,,
008CALHR,Randell Calhoun,,,,,Normal Hours,20.5,418.17
008CALHR,Randell Calhoun,,,,,Annual Leave,7.5,152.99
008CALHR,Randell Calhoun,,,,,Leave Loading 17.5%,0,26.77
008CALHR,Randell Calhoun,,,,,Gross Taxable Total,0,597.93
008CALHR,Randell Calhoun,,,,,Tax (Incl Adjust),0,-58
008CALHR,Randell Calhoun,,,,,Net Pay,0,539.93
008CALHR,Randell Calhoun,,,,,Superannuation,0,54.26
008CALHR,Randell Calhoun,19/07/1982,1W01 - Weekly,CARCOSA,1,,,
008CALHR,Randell Calhoun,,,,,Normal Hours,35,713.94
008CALHR,Randell Calhoun,,,,,Gross Taxable Total,0,713.94
008CALHR,Randell Calhoun,,,,,Tax (Incl Adjust),0,-83
008CALHR,Randell Calhoun,,,,,Net Pay,0,630.94
008CALHR,Randell Calhoun,,,,,Superannuation,0,67.82
009KENTG,Garry Kent,22/08/1983,1W01 - Weekly,CARCOSA,2,,,
009KENTG,Garry Kent,,,,,Normal Hours,17,268.66
009KENTG,Garry Kent,,,,,Gross Taxable Total,0,268.66
009KENTG,Garry Kent,,,,,Tax (Incl Adjust),0,0
009KENTG,Garry Kent,,,,,Net Pay,0,268.66
009KENTG,Garry Kent,5/09/1983,1W01 - Weekly,CARCOSA,2,,,
009KENTG,Garry Kent,,,,,Normal Hours,17,268.66
009KENTG,Garry Kent,,,,,Gross Taxable Total,0,268.66
009KENTG,Garry Kent,,,,,Tax (Incl Adjust),0,0
009KENTG,Garry Kent,,,,,Net Pay,0,268.66
009KENTG,Garry Kent,12/09/1983,1W01 - Weekly,CARCOSA,1,,,
009KENTG,Garry Kent,,,,,Normal Hours,7.5,118.53
009KENTG,Garry Kent,,,,,Gross Taxable Total,0,118.53
009KENTG,Garry Kent,,,,,Tax (Incl Adjust),0,0
009KENTG,Garry Kent,,,,,Net Pay,0,118.53
009KENTG,Garry Kent,19/09/1983,1W01 - Weekly,CARCOSA,1,,,
009KENTG,Garry Kent,,,,,Normal Hours,16,252.86
009KENTG,Garry Kent,,,,,Gross Taxable Total,0,252.86
009KENTG,Garry Kent,,,,,Tax (Incl Adjust),0,0
009KENTG,Garry Kent,,,,,Net Pay,0,252.86
010GOLDM,Melanie Golden,29/11/1982,1W01 - Weekly,CARCOSA,1,,,
010GOLDM,Melanie Golden,,,,,Normal Hours,8.5,173.39
010GOLDM,Melanie Golden,,,,,Gross Taxable Total,0,173.39
010GOLDM,Melanie Golden,,,,,Tax (Incl Adjust),0,0
010GOLDM,Melanie Golden,,,,,Net Pay,0,173.39
010GOLDM,Melanie Golden,6/12/1982,1W01 - Weekly,CARCOSA,1,,,
010GOLDM,Melanie Golden,,,,,Normal Hours,8.5,173.39
010GOLDM,Melanie Golden,,,,,Gross Taxable Total,0,173.39
010GOLDM,Melanie Golden,,,,,Tax (Incl Adjust),0,0
010GOLDM,Melanie Golden,,,,,Net Pay,0,173.39
010GOLDM,Melanie Golden,13/12/1982,1W01 - Weekly,CARCOSA,1,,,
010GOLDM,Melanie Golden,,,,,Normal Hours,25,509.96
010GOLDM,Melanie Golden,,,,,Gross Taxable Total,0,509.96
010GOLDM,Melanie Golden,,,,,Tax (Incl Adjust),0,-39
010GOLDM,Melanie Golden,,,,,Net Pay,0,470.96
010GOLDM,Melanie Golden,,,,,Superannuation,0,64.92
010GOLDM,Melanie Golden,20/12/1982,1W01 - Weekly,CARCOSA,1,,,
010GOLDM,Melanie Golden,,,,,Normal Hours,32,652.75
010GOLDM,Melanie Golden,,,,,60% Sun Perm Ldg,7.5,91.79
010GOLDM,Melanie Golden,,,,,Gross Taxable Total,0,744.54
010GOLDM,Melanie Golden,,,,,Tax (Incl Adjust),0,-94
010GOLDM,Melanie Golden,,,,,Net Pay,0,650.54
010GOLDM,Melanie Golden,,,,,Superannuation,0,70.73
011MCCOJ,Jonathan Mcconnell,23/08/1982,1W01 - Weekly,CARCOSA,1,,,
011MCCOJ,Jonathan Mcconnell,,,,,Normal Hours,32.75,668.04
011MCCOJ,Jonathan Mcconnell,,,,,Gross Taxable Total,0,668.04
011MCCOJ,Jonathan Mcconnell,,,,,Tax (Incl Adjust),0,-73
011MCCOJ,Jonathan Mcconnell,,,,,Net Pay,0,595.04
011MCCOJ,Jonathan Mcconnell,,,,,Superannuation,0,63.46
011MCCOJ,Jonathan Mcconnell,30/08/1982,1W01 - Weekly,CARCOSA,1,,,
011MCCOJ,Jonathan Mcconnell,,,,,Normal Hours,33,673.14
011MCCOJ,Jonathan Mcconnell,,,,,Gross Taxable Total,0,673.14
011MCCOJ,Jonathan Mcconnell,,,,,Tax (Incl Adjust),0,-74
011MCCOJ,Jonathan Mcconnell,,,,,Net Pay,0,599.14
011MCCOJ,Jonathan Mcconnell,,,,,Superannuation,0,63.95
011MCCOJ,Jonathan Mcconnell,6/09/1982,1W01 - Weekly,CARCOSA,1,,,
011MCCOJ,Jonathan Mcconnell,,,,,Sick Leave,32,652.75
011MCCOJ,Jonathan Mcconnell,,,,,Gross Taxable Total,0,652.75
011MCCOJ,Jonathan Mcconnell,,,,,Tax (Incl Adjust),0,-70
011MCCOJ,Jonathan Mcconnell,,,,,Net Pay,0,582.75
011MCCOJ,Jonathan Mcconnell,,,,,Superannuation,0,62.01
012GAMBM,Merrill Gamble,20/12/1982,1W01 - Weekly,CARCOSA,1,,,
012GAMBM,Merrill Gamble,,,,,Normal Hours,38.5,441.75
012GAMBM,Merrill Gamble,,,,,Gross Taxable Total,0,441.75
012GAMBM,Merrill Gamble,,,,,Tax (Incl Adjust),0,-20
012GAMBM,Merrill Gamble,,,,,Net Pay,0,421.75
012GAMBM,Merrill Gamble,27/12/1982,1W01 - Weekly,CARCOSA,1,,,
012GAMBM,Merrill Gamble,,,,,Normal Hours,37.5,430.28
012GAMBM,Merrill Gamble,,,,,Public Holiday - worked,7.5,215.14
012GAMBM,Merrill Gamble,,,,,Gross Taxable Total,0,645.42
012GAMBM,Merrill Gamble,,,,,Tax (Incl Adjust),0,-68
012GAMBM,Merrill Gamble,,,,,Reimburse expenses,0,50
012GAMBM,Merrill Gamble,,,,,Net Pay,0,627.42
012GAMBM,Merrill Gamble,,,,,Superannuation,0,103.28
013DIXOM,Mauro Dixon,5/07/1982,1W01 - Weekly,CARCOSA,1,,,
013DIXOM,Mauro Dixon,,,,,Normal Hours,30,604.82
013DIXOM,Mauro Dixon,,,,,Other Leave - Bereavement,8,161.28
013DIXOM,Mauro Dixon,,,,,Gross Taxable Total,0,766.1
013DIXOM,Mauro Dixon,,,,,Tax (Incl Adjust),0,-101
013DIXOM,Mauro Dixon,,,,,Net Pay,0,665.1
013DIXOM,Mauro Dixon,,,,,Superannuation,0,57.46
013DIXOM,Mauro Dixon,12/07/1982,1W01 - Weekly,CARCOSA,1,,,
013DIXOM,Mauro Dixon,,,,,Normal Hours,42,867.06
013DIXOM,Mauro Dixon,,,,,Gross Taxable Total,0,867.06
013DIXOM,Mauro Dixon,,,,,Tax (Incl Adjust),0,-136
013DIXOM,Mauro Dixon,,,,,Net Pay,0,731.06
013DIXOM,Mauro Dixon,,,,,Superannuation,0,82.37
013DIXOM,Mauro Dixon,19/07/1982,1W01 - Weekly,CARCOSA,1,,,
013DIXOM,Mauro Dixon,,,,,Normal Hours,26,536.75
013DIXOM,Mauro Dixon,,,,,Annual Leave,14,289.02
013DIXOM,Mauro Dixon,,,,,Leave Loading 17.5%,0,50.58
013DIXOM,Mauro Dixon,,,,,Gross Taxable Total,0,876.35
013DIXOM,Mauro Dixon,,,,,Tax (Incl Adjust),0,-139
013DIXOM,Mauro Dixon,,,,,Net Pay,0,737.35
013DIXOM,Mauro Dixon,,,,,Superannuation,0,78.45
014ELLIS,Sara Ellis,26/07/1982,1W01 - Weekly,CARCOSA,1,,,
014ELLIS,Sara Ellis,,,,,Normal Hours,15,305.97
014ELLIS,Sara Ellis,,,,,Gross Taxable Total,0,305.97
014ELLIS,Sara Ellis,,,,,Tax (Incl Adjust),0,0
014ELLIS,Sara Ellis,,,,,Net Pay,0,305.97
014ELLIS,Sara Ellis,2/08/1982,1W01 - Weekly,CARCOSA,1,,,
014ELLIS,Sara Ellis,,,,,Normal Hours,30,611.95
014ELLIS,Sara Ellis,,,,,Gross Taxable Total,0,611.95
014ELLIS,Sara Ellis,,,,,Tax (Incl Adjust),0,-61
014ELLIS,Sara Ellis,,,,,Net Pay,0,550.95
014ELLIS,Sara Ellis,,,,,Superannuation,0,58.14
014ELLIS,Sara Ellis,9/08/1982,1W01 - Weekly,CARCOSA,1,,,
014ELLIS,Sara Ellis,,,,,Normal Hours,37.5,764.94
014ELLIS,Sara Ellis,,,,,Gross Taxable Total,0,764.94
014ELLIS,Sara Ellis,,,,,Tax (Incl Adjust),0,-101
014ELLIS,Sara Ellis,,,,,Net Pay,0,663.94
014ELLIS,Sara Ellis,,,,,Superannuation,0,72.67
015RUSHP,Phil Rush,14/02/1983,1W01 - Weekly,CARCOSA,1,,,
015RUSHP,Phil Rush,,,,,Normal Hours,7.5,152.99
015RUSHP,Phil Rush,,,,,Gross Taxable Total,0,152.99
015RUSHP,Phil Rush,,,,,Tax (Incl Adjust),0,0
015RUSHP,Phil Rush,,,,,Net Pay,0,152.99
015RUSHP,Phil Rush,21/02/1983,1W01 - Weekly,CARCOSA,1,,,
015RUSHP,Phil Rush,,,,,Normal Hours,37,754.74
015RUSHP,Phil Rush,,,,,60% Sun Perm Ldg,7,85.67
015RUSHP,Phil Rush,,,,,Gross Taxable Total,0,840.41
015RUSHP,Phil Rush,,,,,Tax (Incl Adjust),0,-127
015RUSHP,Phil Rush,,,,,Net Pay,0,713.41
015RUSHP,Phil Rush,,,,,Superannuation,0,94.37
015RUSHP,Phil Rush,28/02/1983,1W01 - Weekly,CARCOSA,1,,,
015RUSHP,Phil Rush,,,,,Normal Hours,31.25,637.45
015RUSHP,Phil Rush,,,,,60% Sun Perm Ldg,6.5,79.55
015RUSHP,Phil Rush,,,,,Gross Taxable Total,0,717
015RUSHP,Phil Rush,,,,,Tax (Incl Adjust),0,-84
015RUSHP,Phil Rush,,,,,Net Pay,0,633
015RUSHP,Phil Rush,,,,,Superannuation,0,68.12
016LUCAB,Beth Lucas,5/07/1982,1W01 - Weekly,CARCOSA,1,,,
016LUCAB,Beth Lucas,,,,,Normal Hours,14.5,252.74
016LUCAB,Beth Lucas,,,,,Sun Cas Ldg,7.5,91.51
016LUCAB,Beth Lucas,,,,,Gross Taxable Total,0,344.25
016LUCAB,Beth Lucas,,,,,Tax (Incl Adjust),0,0
016LUCAB,Beth Lucas,,,,,Net Pay,0,344.25
016LUCAB,Beth Lucas,12/07/1982,1W01 - Weekly,CARCOSA,1,,,
016LUCAB,Beth Lucas,,,,,Normal Hours,14,249.88
016LUCAB,Beth Lucas,,,,,Sun Cas Ldg,7,87.46
016LUCAB,Beth Lucas,,,,,Gross Taxable Total,0,337.34
016LUCAB,Beth Lucas,,,,,Tax (Incl Adjust),0,-166
016LUCAB,Beth Lucas,,,,,Net Pay,0,171.34
016LUCAB,Beth Lucas,,,,,Superannuation,0,64.75
016LUCAB,Beth Lucas,19/07/1982,1W01 - Weekly,CARCOSA,1,,,
016LUCAB,Beth Lucas,,,,,Normal Hours,22,392.67
016LUCAB,Beth Lucas,,,,,Sun Cas Ldg,7.5,93.7
016LUCAB,Beth Lucas,,,,,Gross Taxable Total,0,486.37
016LUCAB,Beth Lucas,,,,,Tax (Incl Adjust),0,-239
016LUCAB,Beth Lucas,,,,,Net Pay,0,247.37
016LUCAB,Beth Lucas,,,,,Superannuation,0,46.21
017SIMSN,Nola Sims,27/02/1984,1W01 - Weekly,CARCOSA,1,,,
017SIMSN,Nola Sims,,,,,Normal Hours,9.5,200.18
017SIMSN,Nola Sims,,,,,Gross Taxable Total,0,200.18
017SIMSN,Nola Sims,,,,,Tax (Incl Adjust),0,0
017SIMSN,Nola Sims,,,,,Net Pay,0,200.18
017SIMSN,Nola Sims,6/03/1984,1W01 - Weekly,CARCOSA,1,,,
017SIMSN,Nola Sims,,,,,Normal Hours,20.5,431.96
017SIMSN,Nola Sims,,,,,60% Sun Perm Ldg,7.5,94.82
017SIMSN,Nola Sims,,,,,Gross Taxable Total,0,526.78
017SIMSN,Nola Sims,,,,,Tax (Incl Adjust),0,-43
017SIMSN,Nola Sims,,,,,Net Pay,0,483.78
017SIMSN,Nola Sims,,,,,Superannuation,0,50.04
017SIMSN,Nola Sims,13/03/1984,1W01 - Weekly,CARCOSA,1,,,
017SIMSN,Nola Sims,,,,,Normal Hours,30,632.14
017SIMSN,Nola Sims,,,,,60% Sun Perm Ldg,7.5,94.82
017SIMSN,Nola Sims,,,,,Public Holiday - worked,4,189.64
017SIMSN,Nola Sims,,,,,Gross Taxable Total,0,916.6
017SIMSN,Nola Sims,,,,,Tax (Incl Adjust),0,-153
017SIMSN,Nola Sims,,,,,Net Pay,0,763.6
017SIMSN,Nola Sims,,,,,Superannuation,0,87.08
017SIMSN,Nola Sims,20/03/1984,1W01 - Weekly,CARCOSA,1,,,
017SIMSN,Nola Sims,,,,,Normal Hours,21.5,453.04
017SIMSN,Nola Sims,,,,,Gross Taxable Total,0,453.04
017SIMSN,Nola Sims,,,,,Tax (Incl Adjust),0,-23
017SIMSN,Nola Sims,,,,,Net Pay,0,430.04
017SIMSN,Nola Sims,,,,,Superannuation,0,43.04
018DELAL,Larry Delaney,5/07/1982,1W01 - Weekly,CARCOSA,1,,,
018DELAL,Larry Delaney,,,,,Normal Hours,20,398.4
018DELAL,Larry Delaney,,,,,Sick Leave,6,119.52
018DELAL,Larry Delaney,,,,,Term AL Gross,89.04,1773.69
018DELAL,Larry Delaney,,,,,Term LL Gross,0,310.4
018DELAL,Larry Delaney,,,,,Gross Taxable Total,0,2602.01
018DELAL,Larry Delaney,,,,,Tax (Incl Adjust),0,-665
018DELAL,Larry Delaney,,,,,Net Pay,0,1937.01
018DELAL,Larry Delaney,,,,,Superannuation,0,49.2
019MCINC,Christy Mcintyre,15/05/1984,1W01 - Weekly,CARCOSA,1,,,
019MCINC,Christy Mcintyre,,,,,Normal Hours,4,105.36
019MCINC,Christy Mcintyre,,,,,Gross Taxable Total,0,105.36
019MCINC,Christy Mcintyre,,,,,Tax (Incl Adjust),0,0
019MCINC,Christy Mcintyre,,,,,Net Pay,0,105.36
019MCINC,Christy Mcintyre,22/05/1984,1W01 - Weekly,CARCOSA,1,,,
019MCINC,Christy Mcintyre,,,,,Normal Hours,4.5,118.53
019MCINC,Christy Mcintyre,,,,,Gross Taxable Total,0,118.53
019MCINC,Christy Mcintyre,,,,,Tax (Incl Adjust),0,0
019MCINC,Christy Mcintyre,,,,,Net Pay,0,118.53
019MCINC,Christy Mcintyre,5/06/1984,1W01 - Weekly,CARCOSA,1,,,
019MCINC,Christy Mcintyre,,,,,Normal Hours,8.5,223.88
019MCINC,Christy Mcintyre,,,,,Gross Taxable Total,0,223.88
019MCINC,Christy Mcintyre,,,,,Tax (Incl Adjust),0,0
019MCINC,Christy Mcintyre,,,,,Uniforms - Reducing Balance,0,-10
019MCINC,Christy Mcintyre,,,,,Net Pay,0,213.88
019MCINC,Christy Mcintyre,12/06/1984,1W01 - Weekly,CARCOSA,1,,,
019MCINC,Christy Mcintyre,,,,,Normal Hours,5.5,144.87
019MCINC,Christy Mcintyre,,,,,Sun Cas Ldg,5.5,101.41
019MCINC,Christy Mcintyre,,,,,Gross Taxable Total,0,246.28
019MCINC,Christy Mcintyre,,,,,Tax (Incl Adjust),0,0
019MCINC,Christy Mcintyre,,,,,Uniforms - Reducing Balance,0,-10
019MCINC,Christy Mcintyre,,,,,Net Pay,0,236.28
019MCINC,Christy Mcintyre,,,,,Superannuation,0,44.67
020LYONM,Milo Lyons,12/12/1983,1W01 - Weekly,CARCOSA,2,,,
020LYONM,Milo Lyons,,,,,Normal Hours,33,391.14
020LYONM,Milo Lyons,,,,,Gross Taxable Total,0,391.14
020LYONM,Milo Lyons,,,,,Tax (Incl Adjust),0,0
020LYONM,Milo Lyons,,,,,Net Pay,0,391.14
020LYONM,Milo Lyons,19/12/1983,1W01 - Weekly,CARCOSA,1,,,
020LYONM,Milo Lyons,,,,,Normal Hours,18,213.35
020LYONM,Milo Lyons,,,,,Gross Taxable Total,0,213.35
020LYONM,Milo Lyons,,,,,Tax (Incl Adjust),0,0
020LYONM,Milo Lyons,,,,,Net Pay,0,213.35
020LYONM,Milo Lyons,26/12/1983,1W01 - Weekly,CARCOSA,1,,,
020LYONM,Milo Lyons,,,,,Normal Hours,15,177.79
020LYONM,Milo Lyons,,,,,Gross Taxable Total,0,177.79
020LYONM,Milo Lyons,,,,,Tax (Incl Adjust),0,0
020LYONM,Milo Lyons,,,,,Net Pay,0,177.79
